model,domain,mean,min,max,std
tldr_opt_iml_max,MAGE_HDSR_train_tldr,0.4972,0.4425,0.5325,0.01676591660470609
tldr_t0_11b_random,MAGE_HDSR_train_tldr,0.5457,0.5075,0.59,0.01500875165570496
tldr_t0_3b_random,MAGE_HDSR_train_tldr,0.52195,0.485,0.5675,0.01672180273979714
tldr_text-davinci-002_random_forest,MAGE_HDSR_train_tldr,0.50925,0.485,0.545,0.013373518987200425
tldr_text-davinci-003_random_forest,MAGE_HDSR_train_tldr,0.530525,0.4825,0.6,0.02173153169238123
wp_13B_random_forest,MAGE_HDSR_train_wp,0.502175,0.4925,0.515,0.004433216562599786
wp_30B_random_forest,MAGE_HDSR_train_wp,0.5020249999999999,0.4925,0.5175,0.004419524518508399
wp_65B_random_forest,MAGE_HDSR_train_wp,0.5009,0.4925,0.51,0.0041365578819969485
wp_7B_random_forest,MAGE_HDSR_train_wp,0.500625,0.49,0.515,0.004954018366921736
wp_bloom_7b_random,MAGE_HDSR_train_wp,0.499125,0.4925,0.51,0.003506397472096279
wp_flan_t5_base,MAGE_HDSR_train_wp,0.53595,0.5125,0.57,0.012681908692338402
wp_flan_t5_large,MAGE_HDSR_train_wp,0.540975,0.52,0.5775,0.012380208831319071
wp_flan_t5_small,MAGE_HDSR_train_wp,0.53295,0.5025,0.5625,0.011000344347227319
wp_flan_t5_xl,MAGE_HDSR_train_wp,0.5372,0.5125,0.5675,0.01105701477604041
wp_flan_t5_xxl,MAGE_HDSR_train_wp,0.540775,0.51,0.575,0.013792725172233653
wp_GLM130B_random_forest,MAGE_HDSR_train_wp,0.503775,0.485,0.5225,0.006301504950919627
wp_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_wp,0.509825,0.495,0.53,0.007055471048567331
wp_gpt_j_random,MAGE_HDSR_train_wp,0.4984,0.485,0.5075,0.003785938897200176
wp_gpt_neox_random,MAGE_HDSR_train_wp,0.501725,0.4925,0.525,0.005083830080050693
wp_opt_1.3b_random,MAGE_HDSR_train_wp,0.50045,0.4875,0.5125,0.004877023019768665
wp_opt_125m_random,MAGE_HDSR_train_wp,0.505225,0.4925,0.5175,0.004886269672575523
wp_opt_13b_random,MAGE_HDSR_train_wp,0.50605,0.4925,0.56,0.012376562241967396
wp_opt_2.7b_random,MAGE_HDSR_train_wp,0.50065,0.48,0.5125,0.00528983206088087
wp_opt_30b_random,MAGE_HDSR_train_wp,0.5015999999999999,0.49,0.515,0.0045853301435395556
wp_opt_350m_random,MAGE_HDSR_train_wp,0.520075,0.5025,0.5425,0.0074489423695074
wp_opt_6.7b_random,MAGE_HDSR_train_wp,0.50035,0.49,0.51,0.0037775920928816513
wp_opt_iml_30b,MAGE_HDSR_train_wp,0.500625,0.49,0.51,0.0037161774375660136
wp_opt_iml_max,MAGE_HDSR_train_wp,0.502475,0.4925,0.515,0.004090130397269337
wp_t0_11b_random,MAGE_HDSR_train_wp,0.540175,0.515,0.5725,0.012140044555856539
wp_t0_3b_random,MAGE_HDSR_train_wp,0.545175,0.52,0.5775,0.012150440612204444
wp_text-davinci-002_random_forest,MAGE_HDSR_train_wp,0.501775,0.4925,0.5225,0.004875922601120854
wp_text-davinci-003_random_forest,MAGE_HDSR_train_wp,0.5086999999999999,0.49,0.5225,0.006575897219575766
xsum_13B_random_forest,MAGE_HDSR_train_xsum,0.504975,0.4775,0.54,0.013919388229619464
xsum_30B_random_forest,MAGE_HDSR_train_xsum,0.5116499999999999,0.4725,0.54,0.01433377377758805
xsum_65B_random_forest,MAGE_HDSR_train_xsum,0.5055999999999999,0.4675,0.535,0.012568599642350652
xsum_7B_random_forest,MAGE_HDSR_train_xsum,0.5048,0.4725,0.5525,0.01487184309935111
xsum_bloom_7b_random,MAGE_HDSR_train_xsum,0.4979,0.4525,0.535,0.015657798908744056
xsum_flan_t5_base,MAGE_HDSR_train_xsum,0.56575,0.5175,0.6225,0.020308541766627865
xsum_flan_t5_large,MAGE_HDSR_train_xsum,0.573325,0.5225,0.65,0.01948858445968881
xsum_flan_t5_small,MAGE_HDSR_train_xsum,0.580425,0.535,0.6475,0.022808089894738322
xsum_flan_t5_xl,MAGE_HDSR_train_xsum,0.57465,0.53,0.625,0.020028451984336896
xsum_flan_t5_xxl,MAGE_HDSR_train_xsum,0.572625,0.5275,0.6525,0.021896724421795147
xsum_GLM130B_random_forest,MAGE_HDSR_train_xsum,0.52335,0.4925,0.555,0.013296445184539164
xsum_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_xsum,0.578075,0.5225,0.635,0.02149364188345338
xsum_gpt_j_random,MAGE_HDSR_train_xsum,0.4879,0.455,0.525,0.01398827069982981
xsum_gpt_neox_random,MAGE_HDSR_train_xsum,0.489975,0.45,0.5275,0.014514425948209618
xsum_opt_1.3b_random,MAGE_HDSR_train_xsum,0.5026499999999999,0.4675,0.5375,0.012577135740475387
xsum_opt_125m_random,MAGE_HDSR_train_xsum,0.5047,0.4575,0.5375,0.015126904254447841
xsum_opt_13b_random,MAGE_HDSR_train_xsum,0.49627499999999997,0.4625,0.5375,0.015689115927478466
xsum_opt_2.7b_random,MAGE_HDSR_train_xsum,0.490825,0.4625,0.52,0.012663351838987171
xsum_opt_30b_random,MAGE_HDSR_train_xsum,0.493575,0.45,0.5375,0.01774985773168195
xsum_opt_350m_random,MAGE_HDSR_train_xsum,0.5311,0.4875,0.5775,0.019887054822043154
xsum_opt_6.7b_random,MAGE_HDSR_train_xsum,0.493475,0.46,0.535,0.012909431013445523
xsum_opt_iml_30b,MAGE_HDSR_train_xsum,0.499625,0.4725,0.54,0.014785396665137349
xsum_opt_iml_max,MAGE_HDSR_train_xsum,0.502675,0.475,0.5425,0.014071673494986123
xsum_t0_11b_random,MAGE_HDSR_train_xsum,0.59835,0.5275,0.665,0.024335149371834463
xsum_t0_3b_random,MAGE_HDSR_train_xsum,0.591275,0.535,0.6525,0.02370242443807013
xsum_text-davinci-002_random_forest,MAGE_HDSR_train_xsum,0.507275,0.4775,0.545,0.01362417173833168
xsum_text-davinci-003_random_forest,MAGE_HDSR_train_xsum,0.536675,0.49,0.575,0.01713749728318908
yelp_13B_random_forest,MAGE_HDSR_train_yelp,0.49472499999999997,0.4775,0.51,0.006531731018727735
yelp_30B_random_forest,MAGE_HDSR_train_yelp,0.49455,0.4725,0.505,0.0064782074462903455
yelp_65B_random_forest,MAGE_HDSR_train_yelp,0.493025,0.4725,0.5025,0.006239081371775527
yelp_7B_random_forest,MAGE_HDSR_train_yelp,0.493475,0.475,0.5075,0.00610198469120639
yelp_bloom_7b_random,MAGE_HDSR_train_yelp,0.495975,0.475,0.51,0.005594629008019539
yelp_flan_t5_base,MAGE_HDSR_train_yelp,0.510425,0.4925,0.535,0.008483904844712812
yelp_flan_t5_large,MAGE_HDSR_train_yelp,0.508925,0.48,0.54,0.009797540146857934
yelp_flan_t5_small,MAGE_HDSR_train_yelp,0.51355,0.49,0.545,0.009732404480378785
yelp_flan_t5_xl,MAGE_HDSR_train_yelp,0.511825,0.4875,0.54,0.009093058458033368
yelp_flan_t5_xxl,MAGE_HDSR_train_yelp,0.513,0.4925,0.5375,0.009333874443188754
yelp_GLM130B_random_forest,MAGE_HDSR_train_yelp,0.496575,0.475,0.5125,0.006710603323822448
yelp_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_yelp,0.497075,0.4775,0.51,0.00620621023286719
yelp_gpt_j_random,MAGE_HDSR_train_yelp,0.492475,0.475,0.5075,0.006867201729668324
yelp_gpt_neox_random,MAGE_HDSR_train_yelp,0.49335,0.4725,0.51,0.007344516266706688
yelp_opt_1.3b_random,MAGE_HDSR_train_yelp,0.493525,0.475,0.505,0.007071915932015521
yelp_opt_125m_random,MAGE_HDSR_train_yelp,0.493025,0.4675,0.505,0.006289471320782813
yelp_opt_13b_random,MAGE_HDSR_train_yelp,0.494875,0.47,0.51,0.007198265433597544
yelp_opt_2.7b_random,MAGE_HDSR_train_yelp,0.49379999999999996,0.4725,0.51,0.007415176901790574
yelp_opt_30b_random,MAGE_HDSR_train_yelp,0.49372499999999997,0.48,0.5125,0.00630150495091963
yelp_opt_350m_random,MAGE_HDSR_train_yelp,0.5032,0.485,0.525,0.008257839862331987
yelp_opt_6.7b_random,MAGE_HDSR_train_yelp,0.49355,0.4775,0.505,0.005915866356458263
yelp_opt_iml_30b,MAGE_HDSR_train_yelp,0.49655,0.475,0.5075,0.005932916226401223
yelp_opt_iml_max,MAGE_HDSR_train_yelp,0.495,0.48,0.51,0.006542402487086092
yelp_t0_11b_random,MAGE_HDSR_train_yelp,0.525825,0.5075,0.55,0.010946697071156988
yelp_t0_3b_random,MAGE_HDSR_train_yelp,0.520575,0.495,0.565,0.012811054057360237
